id,first_name,last_name,date_born,pet
322-86-3877,Terrie,Santori,12/19/1999,"Fox, savanna"
796-22-2357,Danie,Moy,7/17/1977,Brown lemur
254-22-7048,Balduin,De Robertis,3/10/1999,"Possum, common brushtail"
485-71-2160,Juan,Tarzey,2/11/1974,"Cat, tiger"
612-09-7052,Viv,Nelles,6/21/1993,"Goose, knob-nosed"
734-36-2008,Nerti,Manley,7/8/1974,Serval
820-35-4771,Mavra,Proctor,3/23/1993,Rose-ringed parakeet
734-56-8519,Renelle,Salzberg,12/30/1974,Red lava crab
786-76-7184,Belva,Shegog,9/26/1984,Defassa waterbuck
121-01-2902,Meredithe,Churm,9/17/1989,Mountain duck
428-80-0746,Myron,Lansdown,3/4/1983,Bonnet macaque
860-87-6060,Basia,Dunsleve,10/10/1984,White-winged black tern
508-15-3950,Tersina,Milmoe,3/16/1989,"Beaver, north american"
736-81-1252,Ulrick,Derges,2/2/1988,Blue peacock
777-28-1192,Ricki,Osmint,11/22/1994,Osprey
888-52-1271,Clayborne,Hurton,9/5/1986,Red phalarope
146-69-0410,Georgia,Cleeton,6/28/1995,California sea lion
449-70-4456,Corby,Doget,4/5/1998,Red-winged blackbird
471-98-3109,Humfried,Tibols,5/18/1982,"Boa, emerald green tree"
512-68-3796,Giralda,Radage,3/6/1992,Woolly-necked stork
474-11-1063,Orsola,Skett,6/3/1973,White-lipped peccary
676-36-5991,Ivan,Shanley,12/7/1991,Thirteen-lined squirrel
145-82-4952,Rivalee,Ellerker,3/26/1997,"Tortoise, radiated"
822-86-2674,Quinn,Morgan,2/25/1978,Impala
211-40-5825,Livy,Garber,9/18/1989,Springbok
415-45-5819,Daveta,Gianolo,11/2/1985,Snow goose
650-66-6704,Hugh,Elnough,8/18/1995,American badger
544-81-9563,Sue,Toffanini,9/11/1981,"Gazelle, grant's"
590-27-0173,Jeremie,Blowin,1/28/1998,Kirk's dik dik
684-90-7822,Helsa,Emmines,1/25/1975,Coke's hartebeest
229-32-1537,Karlens,Esbrook,5/22/1986,Capybara
794-91-2539,Ulrike,Vickars,12/5/1990,"Eagle, golden"
162-40-9455,Raye,Summerbell,12/10/1978,Blue catfish
824-02-9030,Bartolomeo,Pembery,9/15/1977,Common pheasant
319-73-0248,Hollyanne,Aberdeen,11/10/1990,"Moccasin, water"
266-40-6117,Caz,Verduin,1/30/1997,Savannah deer (unidentified)
754-67-5950,Natassia,Wiltshear,9/19/1973,Jabiru stork
111-59-7675,Lanny,Lipscombe,9/21/1988,Mocking cliffchat
385-01-7177,Paul,Kindread,8/15/1993,"Mongoose, banded"
873-77-2547,Dan,Dorrins,12/28/1984,Swallow-tail gull
554-51-1618,Malory,Reckus,8/28/1977,Black-fronted bulbul
590-32-1937,Fancie,Schlagh,8/9/1979,Gray heron
261-81-1661,Reine,Mackin,9/1/1980,American badger
209-14-3726,Matthew,Sarson,12/16/1986,Swainson's francolin
627-74-0876,Kirsten,Ianniello,11/12/1994,Tawny frogmouth
583-37-0047,Penelopa,Waudby,1/29/1994,Gray rhea
195-93-6563,Larina,Blofeld,10/16/1985,Red-billed buffalo weaver
787-89-9793,Jerry,Trevena,2/29/1976,"Lion, asian"
169-11-5837,Jordan,Lucia,5/28/1983,"Langur, gray"
799-90-1717,Carmina,Shilvock,2/8/1981,"Mongoose, small indian"
642-99-3557,Waldo,Bettam,1/25/1978,"Raccoon, common"
654-34-6615,Ab,De Caville,5/21/1984,"Peccary, collared"
791-12-5475,Ryon,Ridsdole,12/30/1998,Roseate cockatoo
200-39-0662,Theo,Fullager,11/27/1980,Gaur
374-89-6242,Becky,Gregory,5/12/1988,"Booby, masked"
667-49-8323,Davon,Axon,3/14/1978,Wild water buffalo
821-49-3910,Dmitri,Egleton,9/5/1990,"Possum, common brushtail"
571-35-4516,Stan,Glendining,1/25/1992,"Turtle, eastern box"
893-83-4124,Timmie,Sertin,9/20/1983,"Hyena, spotted"
617-12-4307,Gene,Boutell,3/31/1980,European stork
832-89-0893,Leanor,Wheeler,12/24/1983,Genoveva
476-44-6243,Ricki,Macconachy,1/13/1989,Genoveva
874-15-4138,Allen,Brosenius,5/9/1988,"Sloth, two-toed tree"
210-19-3912,Mort,Mughal,2/11/1986,Bontebok
493-75-1989,Brod,Mewitt,9/11/1976,Red kangaroo
804-44-2755,Ramonda,Ruddiforth,1/27/1993,"Fox, blue"
237-07-6013,Sosanna,Shilstone,8/23/1986,"Mongoose, small indian"
656-14-9770,Avram,Vero,9/8/1992,"Hartebeest, red"
164-55-0273,Skipp,Corsor,8/10/1993,European beaver
766-81-7695,Olwen,Zorro,1/13/1998,Ground monitor (unidentified)
384-96-7748,Ric,McCorkell,8/15/1987,"Crane, brolga"
166-26-3269,Maible,Sambells,9/24/1982,North American red fox
517-90-4641,Dona,McGuigan,5/12/1984,Fringe-eared oryx
346-41-7567,Deborah,Johanchon,5/15/1997,"Beaver, north american"
618-34-1433,Sallee,Dhillon,5/8/1987,Killer whale
617-36-6089,Mayne,Wilmott,1/9/1998,"Godwit, hudsonian"
117-20-4336,Porter,Humbie,11/8/1989,Australian magpie
668-61-8231,Ruby,Sauvain,7/27/1998,Prehensile-tailed porcupine
581-45-5155,Sarge,Reims,1/11/1983,Pine squirrel
631-20-5370,Rene,Getcliff,9/8/1974,Bobcat
851-55-5610,Aggie,Barthram,3/12/1989,"Francolin, coqui"
875-05-8208,Jamima,Taphouse,10/2/1984,Great cormorant
845-86-3261,Morganica,Romanelli,9/28/1998,"Crane, wattled"
604-22-6975,Alfreda,Alibone,4/25/1987,Long-billed cockatoo
426-80-9280,Brenda,Kenworth,10/1/1976,"Stork, saddle-billed"
139-30-8862,Wilton,Stellino,11/3/1976,Crowned hawk-eagle
574-71-6063,Victoria,Candish,6/16/1997,Golden brush-tailed possum
630-60-2824,Sibelle,Caunter,6/22/1977,Crimson-breasted shrike
493-11-3192,Merna,Ginsie,1/15/1998,"Crane, sarus"
846-50-6847,Damon,Bloys,2/2/1981,"Monkey, vervet"
523-43-6123,Rebeka,Farey,11/19/1974,European badger
322-18-8642,Miguela,Leggott,9/15/1989,Woylie
140-11-5009,Bibbye,Ravillas,4/25/1989,Gerenuk
330-74-0545,Giulia,Bennie,10/16/1995,"Squirrel, uinta ground"
